INSERT INTO shift 0001,0001,0004,0005,0001,0001,0004,1.5,2017-10-01
INSERT INTO shift 0002,0002,0003,0004,0001,0001,0002,0,2017-10-01
INSERT INTO shift 0003,0003,0005,0004,0001,0001,0003,1.5,2017-10-01
INSERT INTO shift 0004,0005,0004,0004,0001,0001,0002,0,2017-10-01
INSERT INTO shift 0005,0008,0003,0004,0001,0001,0002,0,2017-10-01
INSERT INTO shift 0006,0010,0002,0004,0001,0001,0001,2,2017-10-01
INSERT INTO shift 0007,0011,0003,0004,0001,0001,0004,1.5,2017-10-01
INSERT INTO shift 0008,0012,0005,0004,0001,0001,0001,2,2017-10-01
INSERT INTO shift 0009,0015,0006,0005,0001,0001,0001,2,2017-10-01
INSERT INTO shift 0010,0016,0006,0005,0001,0001,0003,1.5,2017-10-01
INSERT INTO shift 0011,0017,0001,0004,0001,0001,0001,2,2017-10-01
INSERT INTO shift 0012,0020,0004,0005,0001,0001,0001,2,2017-10-01
INSERT INTO shift 0013,0001,0005,0003,0001,0002,0002,0,2017-10-02
INSERT INTO shift 0014,0003,0002,0003,0001,0002,0003,1,2017-10-02
INSERT INTO shift 0015,0004,0001,0003,0001,0002,0004,1,2017-10-02
INSERT INTO shift 0016,0005,0001,0001,0001,0002,0002,0,2017-10-02
INSERT INTO shift 0017,0006,0005,0002,0001,0002,0003,1,2017-10-02
INSERT INTO shift 0018,0007,0006,0001,0001,0002,0001,1.5,2017-10-02
INSERT INTO shift 0019,0008,0002,0003,0001,0002,0002,0,2017-10-02
INSERT INTO shift 0020,0009,0003,0002,0001,0002,0003,1,2017-10-02
INSERT INTO shift 0021,0010,0004,0001,0001,0002,0001,1.5,2017-10-02
INSERT INTO shift 0022,0011,0002,0002,0001,0002,0004,1,2017-10-02
INSERT INTO shift 0023,0013,0001,0001,0001,0002,0003,1,2017-10-02
INSERT INTO shift 0024,0014,0003,0001,0001,0002,0001,1.5,2017-10-02
INSERT INTO shift 0025,0015,0004,0001,0001,0002,0003,1,2017-10-02
INSERT INTO shift 0026,0018,0006,0001,0001,0002,0001,1.5,2017-10-02
INSERT INTO shift 0027,0019,0006,0001,0001,0002,0004,1,2017-10-02
INSERT INTO shift 0028,0020,0006,0003,0001,0002,0004,1,2017-10-02
INSERT INTO shift 0029,0001,0004,0002,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0030,0002,0004,0001,0001,0003,0002,0,2017-10-03
INSERT INTO shift 0031,0003,0005,0001,0001,0003,0002,0,2017-10-03
INSERT INTO shift 0032,0005,0004,0003,0001,0003,0003,1,2017-10-03
INSERT INTO shift 0033,0006,0003,0002,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0034,0007,0004,0003,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0035,0008,0003,0001,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0036,0009,0004,0003,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0037,0011,0004,0003,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0038,0012,0003,0001,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0039,0013,0001,0003,0001,0003,0002,0,2017-10-03
INSERT INTO shift 0040,0014,0006,0002,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0041,0016,0005,0002,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0042,0017,0005,0003,0001,0003,0004,1,2017-10-03
INSERT INTO shift 0043,0018,0006,0003,0001,0003,0002,0,2017-10-03
INSERT INTO shift 0044,0019,0005,0002,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0045,0020,0003,0001,0001,0003,0001,1.5,2017-10-03
INSERT INTO shift 0046,0002,0003,0003,0001,0004,0002,0,2017-10-04
INSERT INTO shift 0047,0003,0004,0002,0001,0004,0003,1,2017-10-04
INSERT INTO shift 0048,0004,0006,0002,0001,0004,0002,0,2017-10-04
INSERT INTO shift 0049,0006,0004,0003,0001,0004,0004,1,2017-10-04
INSERT INTO shift 0050,0007,0001,0003,0001,0004,0002,0,2017-10-04
INSERT INTO shift 0051,0009,0003,0002,0001,0004,0003,1,2017-10-04
INSERT INTO shift 0052,0010,0001,0002,0001,0004,0003,1,2017-10-04
INSERT INTO shift 0053,0012,0002,0001,0001,0004,0001,1.5,2017-10-04
INSERT INTO shift 0054,0014,0003,0001,0001,0004,0003,1,2017-10-04
INSERT INTO shift 0055,0015,0002,0001,0001,0004,0001,1.5,2017-10-04
INSERT INTO shift 0056,0019,0005,0001,0001,0004,0001,1.5,2017-10-04
INSERT INTO shift 0057,0001,0006,0001,0001,0005,0002,0,2017-10-05
INSERT INTO shift 0058,0002,0003,0001,0001,0005,0002,0,2017-10-05
INSERT INTO shift 0059,0004,0006,0002,0001,0005,0001,1.5,2017-10-05
INSERT INTO shift 0060,0005,0003,0001,0001,0005,0004,1,2017-10-05
INSERT INTO shift 0061,0006,0004,0002,0001,0005,0003,1,2017-10-05
INSERT INTO shift 0062,0008,0004,0001,0001,0005,0001,1.5,2017-10-05
INSERT INTO shift 0063,0009,0004,0003,0001,0005,0001,1.5,2017-10-05
INSERT INTO shift 0064,0011,0005,0003,0001,0005,0002,0,2017-10-05
INSERT INTO shift 0065,0012,0001,0001,0001,0005,0001,1.5,2017-10-05
INSERT INTO shift 0066,0013,0005,0001,0001,0005,0004,1,2017-10-05
INSERT INTO shift 0067,0014,0004,0003,0001,0005,0002,0,2017-10-05
INSERT INTO shift 0068,0016,0005,0003,0001,0005,0003,1,2017-10-05
INSERT INTO shift 0069,0017,0003,0002,0001,0005,0004,1,2017-10-05
INSERT INTO shift 0070,0018,0002,0002,0001,0005,0002,0,2017-10-05
INSERT INTO shift 0071,0001,0002,0003,0001,0006,0002,0,2017-10-06
INSERT INTO shift 0072,0003,0004,0002,0001,0006,0003,1,2017-10-06
INSERT INTO shift 0073,0004,0001,0003,0001,0006,0001,1.5,2017-10-06
INSERT INTO shift 0074,0005,0002,0001,0001,0006,0003,1,2017-10-06
INSERT INTO shift 0075,0006,0003,0003,0001,0006,0004,1,2017-10-06
INSERT INTO shift 0076,0007,0003,0001,0001,0006,0004,1,2017-10-06
INSERT INTO shift 0077,0009,0002,0001,0001,0006,0003,1,2017-10-06
INSERT INTO shift 0078,0010,0004,0002,0001,0006,0001,1.5,2017-10-06
INSERT INTO shift 0079,0012,0004,0003,0001,0006,0003,1,2017-10-06
INSERT INTO shift 0080,0013,0003,0003,0001,0006,0001,1.5,2017-10-06
INSERT INTO shift 0081,0014,0003,0002,0001,0006,0001,1.5,2017-10-06
INSERT INTO shift 0082,0015,0006,0001,0001,0006,0004,1,2017-10-06
INSERT INTO shift 0083,0016,0006,0002,0001,0006,0004,1,2017-10-06
INSERT INTO shift 0084,0017,0003,0002,0001,0006,0003,1,2017-10-06
INSERT INTO shift 0085,0018,0006,0003,0001,0006,0004,1,2017-10-06
INSERT INTO shift 0086,0019,0006,0001,0001,0006,0002,0,2017-10-06
INSERT INTO shift 0087,0020,0001,0002,0001,0006,0001,1.5,2017-10-06
INSERT INTO shift 0088,0002,0001,0004,0001,0007,0001,2,2017-10-07
INSERT INTO shift 0089,0004,0005,0005,0001,0007,0004,1.5,2017-10-07
INSERT INTO shift 0090,0007,0006,0004,0001,0007,0003,1.5,2017-10-07
INSERT INTO shift 0091,0008,0002,0005,0001,0007,0004,1.5,2017-10-07
INSERT INTO shift 0092,0010,0005,0004,0001,0007,0002,0,2017-10-07
INSERT INTO shift 0093,0011,0002,0004,0001,0007,0001,2,2017-10-07
INSERT INTO shift 0094,0013,0006,0005,0001,0007,0004,1.5,2017-10-07
INSERT INTO shift 0095,0015,0001,0005,0001,0007,0003,1.5,2017-10-07
INSERT INTO shift 0096,0016,0001,0005,0001,0007,0001,2,2017-10-07
INSERT INTO shift 0097,0017,0003,0005,0001,0007,0004,1.5,2017-10-07
INSERT INTO shift 0098,0018,0006,0004,0001,0007,0002,0,2017-10-07
INSERT INTO shift 0099,0019,0005,0004,0001,0007,0002,0,2017-10-07
INSERT INTO shift 0100,0020,0004,0005,0001,0007,0003,1.5,2017-10-07
INSERT INTO shift 0101,0002,0005,0005,0002,0001,0002,0,2017-10-08
INSERT INTO shift 0102,0003,0003,0005,0002,0001,0003,1.5,2017-10-08
INSERT INTO shift 0103,0004,0001,0005,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0104,0005,0002,0004,0002,0001,0003,1.5,2017-10-08
INSERT INTO shift 0105,0006,0004,0005,0002,0001,0002,0,2017-10-08
INSERT INTO shift 0106,0007,0001,0005,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0107,0008,0003,0005,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0108,0009,0001,0004,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0109,0010,0002,0005,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0110,0011,0003,0004,0002,0001,0003,1.5,2017-10-08
INSERT INTO shift 0111,0012,0002,0005,0002,0001,0002,0,2017-10-08
INSERT INTO shift 0112,0013,0001,0004,0002,0001,0003,1.5,2017-10-08
INSERT INTO shift 0113,0014,0006,0005,0002,0001,0003,1.5,2017-10-08
INSERT INTO shift 0114,0015,0005,0004,0002,0001,0001,2,2017-10-08
INSERT INTO shift 0115,0016,0002,0005,0002,0001,0002,0,2017-10-08
INSERT INTO shift 0116,0019,0001,0005,0002,0001,0002,0,2017-10-08
INSERT INTO shift 0117,0020,0001,0004,0002,0001,0002,0,2017-10-08
