sales store display week
  956.0      1      Yes      6
  953.0      1      Yes      2
  938.0      1      Yes      1
 1049.0      1      Yes      4
  769.0      1      No      3
  766.0      1      No      8
  739.0      1      No      5
  859.0      1      No      7
 1008.0      2      Yes      8
 1032.0      2      Yes      3
 1025.0      2      Yes      1
 1123.0      2      Yes      7
  880.0      2      No      6
  875.0      2      No      4
  860.0      2      No      5
  915.0      2      No      2
  350.0      3      Yes      1
  352.0      3      Yes      4
  338.0      3      Yes      3
  438.0      3      Yes      7
  176.0      3      No      6
  185.0      3      No      2
  168.0      3      No      8
  280.0      3      No      5
  412.0      4      Yes      4
  449.0      4      Yes      3
  385.0      4      Yes      1
  532.0      4      Yes      6
  209.0      4      No      5
  223.0      4      No      2
  217.0      4      No      7
  301.0      4      No      8
